Exhaust,Anxiety,Procrast,Mindless
2.9,1.273,2.2,3.4
3.1,2.545,2,4.6
2.95,2.091,2.84,3.5
2.8,1.545,1.88,4.8
2.8,1.545,1.88,2.5
3.3,1.818,3.24,5.5
3.55,2.727,3.44,6.4
3.65,2.000,4.04,6.9
3.4,3.273,3.12,3
2.85,1.818,2.12,5.9
3.15,1.727,2.12,4.4
3.5,2.364,2.92,4
3.25,2.000,3.12,3.4
3.4,1.727,2.08,2.1
3.6,2.455,2.08,6.8
3.2,1.909,2.28,6
2.85,2.000,1.92,4.6
3.65,1.182,2.76,3.8
4.2,3.364,3.2,6
3.55,2.091,2.08,5.3
3.5,2.818,3.6,6.6
3.1,1.800,1.44,5.7
2.8,2.636,2.44,2.4
3.45,2.364,2.24,5.1
3.45,2.545,2.52,6.7
3.75,1.727,2.4,5.9
3.85,3.000,2.6,4.6
3.15,2.273,3.92,6.6
3.55,2.818,2.44,4.4
3.75,3.000,3.68,4.3
3.2,3.000,3.52,5
2.95,1.636,3.08,4.3
2.4,1.909,2.76,5.667
2.3,1.091,1.6,4.3
3.5,2.091,3.36,5.6
4.15,3.000,3.32,5.9
3.95,2.091,2.08,5.4
3.9,2.727,3.48,5.7
3.8,1.455,2.36,3.9
3.55,2.091,3.36,5.9
3.35,3.000,3.56,6.8
3.05,2.182,3.64,2.7
2.8,2.364,3.36,5.1
3,2.091,4.08,4.9
3.35,3.182,2.92,6.4
2.6,2.182,2.2,5.8
2.65,1.364,1.96,3.3
3.75,2.727,3.16,5.5
4.35,2.182,4.72,6.6
3.95,1.818,3.72,6.5
3.75,1.545,3.8,2.2
3.85,3.182,2.56,6.8
3.2,2.182,2.44,5.2
3.7,1.909,2.72,6.2
3.7,3.455,3.36,4.7
2.7,1.818,1.12,4
3,2.182,2.08,6.1
3.9,1.727,2.32,5
3.95,2.818,2.24,4.7
3.65,3.091,3.68,6.1
3.8,1.909,1.52,3.8
3.65,2.455,3.2,6.1
3.25,2.273,2.44,5.7
2.6,1.636,2.24,4
2.6,1.455,2.48,4.3
3.05,2.182,2.4,4.3
3.3,2.273,2.84,5.5
3.25,2.273,3.28,2.8
2.25,2.909,4.24,6.1
3.05,1.273,2,4.3
2.9,2.909,4.44,5.2
2.4,1.273,2.28,2.6
3.85,2.182,2.6,4.7
3.9,2.818,2.84,6.2
3.7,2.727,2.56,4.5
3.4,2.545,3.08,6.7
2.7,1.727,2.92,4
3.1,2.273,2.84,6.4
4.15,2.818,1.96,2
4,3.364,1.84,6.3
3.3,1.273,1.28,3.8
3.55,1.636,2.04,5.1
4.1,2.545,3.4,5.8
4.4,3.182,1.8,4.5
3.7,2.909,2.76,6.5
3.05,1.818,3.44,6.4
2.75,2.000,2.64,5.5
2.4,1.818,3.32,3.1
2.25,2.000,3.16,3.5
2.55,1.545,2.52,3.8
3.1,1.273,3.44,6.9
3,2.273,2.6,5.3
3.55,2.091,3.04,5.5
3.55,3.182,3.76,6.6
3.05,2.364,2.6,5.4
3.65,1.455,3.72,4.6
3.95,2.909,3.52,5
4.1,2.636,3.24,4.8
4,3.182,3.28,5.2
3.3,1.909,2.64,4.1
3.3,1.636,2.04,4.1
3.7,2.455,2.68,4.5
3.75,1.909,3.48,6.2
3.5,2.545,2.76,4.2
3.3,2.364,3.16,4.4
